"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","rentals"
1,"2011-01-01","Winter",0,1,"No",6,"No","Few Clouds",8.175849,0.363625,80.5833,10.749882,331,654,985
2,"2011-01-02","Winter",0,1,"No",0,"No","Few Clouds",9.083466,0.353739,69.6087,16.652113,131,670,801
3,"2011-01-03","Winter",0,1,"No",1,"Yes","Clear",1.229108,0.189405,43.7273,16.636703,120,1229,1349
4,"2011-01-04","Winter",0,1,"No",2,"Yes","Clear",1.4,0.212122,59.0435,10.739832,108,1454,1562
5,"2011-01-05","Winter",0,1,"No",3,"Yes","Clear",2.666979,0.22927,43.6957,12.5223,82,1518,1600
6,"2011-01-06","Winter",0,1,"No",4,"Yes","Clear",1.604356,0.233209,51.8261,6.0008684,88,1518,1606
7,"2011-01-07","Winter",0,1,"No",5,"Yes","Few Clouds",1.236534,0.208839,49.8696,11.304642,148,1362,1510
8,"2011-01-08","Winter",0,1,"No",6,"No","Few Clouds",-0.244999999999999,0.162254,53.5833,17.875868,68,891,959
9,"2011-01-09","Winter",0,1,"No",0,"No","Clear",-1.498349,0.116175,43.4167,24.25065,54,768,822
10,"2011-01-10","Winter",0,1,"No",1,"Yes","Clear",-0.910849000000001,0.150888,48.2917,14.958889,41,1280,1321
11,"2011-01-11","Winter",0,1,"No",2,"Yes","Few Clouds",-0.0527230000000003,0.191464,68.6364,8.182844,43,1220,1263
12,"2011-01-12","Winter",0,1,"No",3,"Yes","Clear",0.118169,0.160473,59.9545,20.410009,25,1137,1162
13,"2011-01-13","Winter",0,1,"No",4,"Yes","Clear",-0.244999999999999,0.150883,47.0417,20.167,38,1368,1406
14,"2011-01-14","Winter",0,1,"No",5,"Yes","Clear",-0.439109999999999,0.188413,53.7826,8.478716,54,1367,1421
15,"2011-01-15","Winter",0,1,"No",6,"No","Few Clouds",2.966651,0.248112,49.875,10.583521,222,1026,1248
16,"2011-01-16","Winter",0,1,"No",0,"No","Clear",2.888349,0.234217,48.375,12.625011,251,953,1204
17,"2011-01-17","Winter",0,1,"Yes",1,"No","Few Clouds",0.264151,0.176771,53.75,12.999139,117,883,1000
18,"2011-01-18","Winter",0,1,"No",2,"Yes","Few Clouds",2.183349,0.232333,86.1667,9.833925,9,674,683
19,"2011-01-19","Winter",0,1,"No",3,"Yes","Few Clouds",5.732178,0.298422,74.1739,13.957239,78,1572,1650
20,"2011-01-20","Winter",0,1,"No",4,"Yes","Few Clouds",4.298349,0.25505,53.8333,13.125568,83,1844,1927
21,"2011-01-21","Winter",0,1,"No",5,"Yes","Clear",0.342499999999999,0.157833,45.7083,23.667214,75,1468,1543
22,"2011-01-22","Winter",0,1,"No",6,"No","Clear",-5.2208712,0.0790696,40,11.52199,93,888,981
23,"2011-01-23","Winter",0,1,"No",0,"No","Clear",-3.4634801,0.0988391,43.6522,16.5222,150,836,986
24,"2011-01-24","Winter",0,1,"No",1,"Yes","Clear",-3.4226089,0.11793,49.1739,10.60811,86,1330,1416
25,"2011-01-25","Winter",0,1,"No",2,"Yes","Few Clouds",2.503466,0.234526,61.6957,8.696332,186,1799,1985
26,"2011-01-26","Winter",0,1,"No",3,"Yes","Partly Cloudy",2.2225,0.2036,86.25,19.68795,34,472,506
27,"2011-01-27","Winter",0,1,"No",4,"Yes","Clear",1.165,0.2197,68.75,7.627079,15,416,431
28,"2011-01-28","Winter",0,1,"No",5,"Yes","Few Clouds",1.563466,0.223317,79.3043,8.2611,38,1129,1167
29,"2011-01-29","Winter",0,1,"No",6,"No","Clear",1.236534,0.212126,65.1739,9.739455,123,975,1098
30,"2011-01-30","Winter",0,1,"No",0,"No","Clear",2.176534,0.250322,72.2174,4.9568342,140,956,1096
31,"2011-01-31","Winter",0,1,"No",1,"Yes","Few Clouds",0.499150999999999,0.18625,60.375,12.541864,42,1459,1501
32,"2011-02-01","Winter",0,2,"No",2,"Yes","Few Clouds",1.032178,0.23453,82.9565,3.565271,47,1313,1360
33,"2011-02-02","Winter",0,2,"No",3,"Yes","Few Clouds",4.22,0.254417,77.5417,17.708636,72,1454,1526
34,"2011-02-03","Winter",0,2,"No",4,"Yes","Clear",0.786979000000001,0.177878,43.7826,18.609384,61,1489,1550
35,"2011-02-04","Winter",0,2,"No",5,"Yes","Few Clouds",1.931288,0.228587,58.5217,8.565213,88,1620,1708
36,"2011-02-05","Winter",0,2,"No",6,"No","Few Clouds",2.966651,0.243058,92.9167,10.792293,100,905,1005
37,"2011-02-06","Winter",0,2,"No",0,"No","Clear",5.434151,0.291671,56.8333,9.5006,354,1269,1623
38,"2011-02-07","Winter",0,2,"No",1,"Yes","Clear",4.768349,0.303658,73.8333,3.0423561,120,1592,1712
39,"2011-02-08","Winter",0,2,"No",2,"Yes","Clear",2.379151,0.198246,53.7917,24.25065,64,1466,1530
40,"2011-02-09","Winter",0,2,"No",3,"Yes","Few Clouds",-1.665199,0.144283,49.4783,12.652213,53,1552,1605
41,"2011-02-10","Winter",0,2,"No",4,"Yes","Clear",-1.215644,0.149548,43.7391,14.869645,47,1491,1538
42,"2011-02-11","Winter",0,2,"No",5,"Yes","Clear",0.887277000000001,0.213509,50.6364,7.27285,149,1597,1746
43,"2011-02-12","Winter",0,2,"No",6,"No","Clear",2.4575,0.232954,54.4167,13.625589,288,1184,1472
44,"2011-02-13","Winter",0,2,"No",0,"No","Clear",6.876534,0.324113,45.7391,17.479161,397,1192,1589
45,"2011-02-14","Winter",0,2,"No",1,"Yes","Clear",11.505,0.39835,37.5833,27.999836,208,1705,1913
46,"2011-02-15","Winter",0,2,"No",2,"Yes","Clear",4.506089,0.254274,31.4348,19.522058,140,1675,1815
47,"2011-02-16","Winter",0,2,"No",3,"Yes","Clear",6.958267,0.3162,42.3478,16.869997,218,1897,2115
48,"2011-02-17","Winter",0,2,"No",4,"Yes","Clear",12.484151,0.428658,50.5,15.416968,259,2216,2475
49,"2011-02-18","Winter",0,2,"No",5,"Yes","Clear",16.518349,0.511983,51.6667,17.749975,579,2348,2927
50,"2011-02-19","Winter",0,2,"No",6,"No","Clear",10.760849,0.391404,18.7917,34.000021,532,1103,1635
51,"2011-02-20","Winter",0,2,"No",0,"No","Clear",5.405199,0.27733,40.7826,14.956745,639,1173,1812
52,"2011-02-21","Winter",0,2,"Yes",1,"No","Few Clouds",6.256651,0.284075,60.5,20.625682,195,912,1107
53,"2011-02-22","Winter",0,2,"No",2,"Yes","Clear",0.564434,0.186033,57.7778,13.110761,74,1376,1450
54,"2011-02-23","Winter",0,2,"No",3,"Yes","Clear",2.421733,0.245717,42.3043,6.305571,139,1778,1917
55,"2011-02-24","Winter",0,2,"No",4,"Yes","Few Clouds",5.895644,0.289191,69.7391,16.783232,100,1707,1807
56,"2011-02-25","Winter",0,2,"No",5,"Yes","Few Clouds",9.124356,0.350461,71.2174,23.218113,120,1341,1461
57,"2011-02-26","Winter",0,2,"No",6,"No","Clear",5.2775,0.282192,53.7917,12.500257,424,1545,1969
58,"2011-02-27","Winter",0,2,"No",0,"No","Clear",8.143466,0.351109,68,8.391616,694,1708,2402
59,"2011-02-28","Winter",0,2,"No",1,"Yes","Few Clouds",11.141831,0.400118,87.6364,19.408962,81,1365,1446
60,"2011-03-01","Winter",0,3,"No",2,"Yes","Clear",4.533349,0.263879,53.5,14.500475,137,1714,1851
61,"2011-03-02","Winter",0,3,"No",3,"Yes","Clear",7.745,0.320071,44.9583,20.624811,231,1903,2134
62,"2011-03-03","Winter",0,3,"No",4,"Yes","Clear",1.321651,0.200133,31.8333,15.125518,123,1562,1685
63,"2011-03-04","Winter",0,3,"No",5,"Yes","Few Clouds",4.298349,0.255679,61.0417,13.624182,214,1730,1944
64,"2011-03-05","Winter",0,3,"No",6,"No","Few Clouds",10.055849,0.378779,78.9167,16.875357,640,1437,2077
65,"2011-03-06","Winter",0,3,"No",0,"No","Few Clouds",9.696534,0.366252,94.8261,23.000229,114,491,605
66,"2011-03-07","Winter",0,3,"No",1,"Yes","Clear",4.301733,0.238461,55.1304,22.870584,244,1628,1872
67,"2011-03-08","Winter",0,3,"No",2,"Yes","Clear",5.7475,0.3024,42.0833,8.08355,316,1817,2133
68,"2011-03-09","Winter",0,3,"No",3,"Yes","Few Clouds",5.904151,0.286608,77.5417,14.75005,191,1700,1891
69,"2011-03-10","Winter",0,3,"No",4,"Yes","Partly Cloudy",10.287277,0.385668,0,17.545759,46,577,623
70,"2011-03-11","Winter",0,3,"No",5,"Yes","Few Clouds",6.876534,0.305,64.9565,15.60899,247,1730,1977
71,"2011-03-12","Winter",0,3,"No",6,"No","Clear",7.470849,0.32575,59.4583,14.791925,724,1408,2132
72,"2011-03-13","Winter",0,3,"No",0,"No","Clear",10.064356,0.380091,52.7391,18.130468,982,1435,2417
73,"2011-03-14","Winter",0,3,"No",1,"Yes","Clear",7.285199,0.332,49.6957,9.174042,359,1687,2046
74,"2011-03-15","Winter",0,3,"No",2,"Yes","Few Clouds",6.917377,0.318178,65.5652,12.348703,289,1767,2056
75,"2011-03-16","Winter",0,3,"No",3,"Yes","Few Clouds",9.165199,0.36693,77.6522,13.608839,321,1871,2192
76,"2011-03-17","Winter",0,3,"No",4,"Yes","Clear",11.505,0.410333,60.2917,14.041793,424,2320,2744
77,"2011-03-18","Winter",0,3,"No",5,"Yes","Clear",17.38,0.527009,52.5217,15.478139,884,2355,3239
